date,user,name,text,retweet,favorite,location,Post
2022-04-05 06:57:29+00:00,ChinaDaily,China Daily,"#Shanghai reported 13,354 new #COVID_19 infections on Monday after the city conducted a citywide mass testing, the… https://t.co/vrT5XRIGkd",0,1,"Beijing, China","#Shanghai reported 13,354 new #COVID_19 infections on Monday after the city conducted a citywide mass testing, the… https://t.co/vrT5XRIGkd"
2022-04-05 06:57:26+00:00,CGazette,Crookwell Gazette,Queanbeyan man dies as region records 408 new COVID-19 cases https://t.co/9RQ0Bo6TrK,0,0,Crookwell,Queanbeyan man dies as region records 408 new COVID-19 cases https://t.co/9RQ0Bo6TrK
2022-04-05 06:57:19+00:00,AnanasKpop,Ananas,"Laboum Haein has tested positive for covid-19.

Get well soon! 🌱",0,0,(More info in pinned tweet),"Laboum Haein has tested positive for covid-19.

Get well soon! 🌱"
2022-04-05 06:57:16+00:00,Harbinger1954,CC Townley,"@abcnews I was wondering what the State of Affairs, with the Greek Patriarch, and the Greek Aged people's care, whi… https://t.co/BAfA8GnYEp",0,0,Queensland,"@abcnews I was wondering what the State of Affairs, with the Greek Patriarch, and the Greek Aged people's care, whi… https://t.co/BAfA8GnYEp"
2022-04-05 06:57:15+00:00,AndyVermaut,Andy Vermaut,"Andy Vermaut shares:Covid-19 can have long-term impacts on the brain, shows study: Researchers have found that subj… https://t.co/iZoX3mvvk2",0,0,"Diksmuide, België","Andy Vermaut shares:Covid-19 can have long-term impacts on the brain, shows study: Researchers have found that subj… https://t.co/iZoX3mvvk2"
2022-04-05 06:57:08+00:00,takeonedigital,Take One,"New Zealand reports 14,120 new community cases of COVID-19 https://t.co/FupJnjtSvu",0,0,India,"New Zealand reports 14,120 new community cases of COVID-19 https://t.co/FupJnjtSvu"
2022-04-05 06:57:02+00:00,_covid_19_bot_,Covid-19 Bot,"Cases: 493,680,960 (+0) 
Deaths: 6,170,117 (+186) 
Recovered: 0 (+0) 
Active Cases: 493,680,960 (100%)
Completed Ca… https://t.co/i0ozrWnSFA",0,0,,"Cases: 493,680,960 (+0) 
Deaths: 6,170,117 (+186) 
Recovered: 0 (+0) 
Active Cases: 493,680,960 (100%)
Completed Ca… https://t.co/i0ozrWnSFA"
2022-04-05 06:56:49+00:00,Smile904FM,Smile90.4 FM,"South Africans have until 16 April to comment on the draft Health regulations, as the Covid-19 pandemic will be man… https://t.co/BMF2FDb1gB",0,0,"Cape Town, South Africa","South Africans have until 16 April to comment on the draft Health regulations, as the Covid-19 pandemic will be man… https://t.co/BMF2FDb1gB"
2022-04-05 06:56:45+00:00,MisterCujoe,CJ 💫,"@BBCAfrica @okwoche All of a sudden, everyone agrees Ghana's economy was so solid prior to covid 19? Interesting...… https://t.co/fN4N8afuyC",0,0,Earth,"@BBCAfrica @okwoche All of a sudden, everyone agrees Ghana's economy was so solid prior to covid 19? Interesting...… https://t.co/fN4N8afuyC"
2022-04-05 06:56:33+00:00,ShikshaDotCom,Shiksha.com,IIT Mandi researchers elucidate molecular structure of endodomain of spike protein of COVID-19 virus… https://t.co/XJyWxXqvl3,0,0,Noida,IIT Mandi researchers elucidate molecular structure of endodomain of spike protein of COVID-19 virus… https://t.co/XJyWxXqvl3
