Post,img_link,Links,file_path
No Caption!,['https://scontent.fdac22-1.fna.fbcdn.net/v/t39.30808-6/238836841_10224254217199364_4511655421130542004_n.jpg?stp=dst-jpg_p180x540&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=BtB4Mj3lQtMAX_qg1PQ&_nc_ht=scontent.fdac22-1.fna&oh=00_AT_rSsbuLLTilOKzQ4UNKCHYoTCyN8WddBpOUY_OWQos8A&oe=62977380'],"['https://www.facebook.com/jafar.mona?__cft__[0]=AZUFWj1UkoHBdw7Gf8Ij8mO27vsgTmQIL3xCG-uA0xZCHwxf-kNEtIBG-LoQo-ZeepYu9CcyT5UVxZxu7hKnOqpjIDkfD1a14k2T8G1IrvHZhg&__tn__=%3C%2CP-R', 'https://www.facebook.com/jafar.mona?__cft__[0]=AZUFWj1UkoHBdw7Gf8Ij8mO27vsgTmQIL3xCG-uA0xZCHwxf-kNEtIBG-LoQo-ZeepYu9CcyT5UVxZxu7hKnOqpjIDkfD1a14k2T8G1IrvHZhg&__tn__=%3C%3C%2CP-R', 'https://www.facebook.com/jafar.mona?__cft__[0]=AZUFWj1UkoHBdw7Gf8Ij8mO27vsgTmQIL3xCG-uA0xZCHwxf-kNEtIBG-LoQo-ZeepYu9CcyT5UVxZxu7hKnOqpjIDkfD1a14k2T8G1IrvHZhg&__tn__=-UC%2CP-R', 'https://www.facebook.com/jafar.mona/posts/10224254217399369?__cft__[0]=AZUFWj1UkoHBdw7Gf8Ij8mO27vsgTmQIL3xCG-uA0xZCHwxf-kNEtIBG-LoQo-ZeepYu9CcyT5UVxZxu7hKnOqpjIDkfD1a14k2T8G1IrvHZhg&__tn__=%2CO%2CP-R', 'https://www.facebook.com/photo/?fbid=10224254217079361&set=a.1176698893902&__cft__[0]=AZUFWj1UkoHBdw7Gf8Ij8mO27vsgTmQIL3xCG-uA0xZCHwxf-kNEtIBG-LoQo-ZeepYu9CcyT5UVxZxu7hKnOqpjIDkfD1a14k2T8G1IrvHZhg&__tn__=EH-R']",29_05_2022-03_32_07-jafar.mona-partho.csv
"Let's welcome our new members:Dil Ruba,Tareq Ahmed Riyal,Helen Akter Kamona,Arman Momin,… See more — with Kazi Nafisa Rabita and 70 others.","[""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' xmlns:xlink='http://www.w3.org/1999/xlink' viewBox='0 0 16 16'%3e%3cdefs%3e%3clinearGradient id='a' x1='50%25' x2='50%25' y1='0%25' y2='100%25'%3e%3cstop offset='0%25' stop-color='%2318AFFF'/%3e%3cstop offset='100%25' stop-color='%230062DF'/%3e%3c/linearGradient%3e%3cfilter id='c' width='118.8%25' height='118.8%25' x='-9.4%25' y='-9.4%25' filterUnits='objectBoundingBox'%3e%3cfeGaussianBlur in='SourceAlpha' result='shadowBlurInner1' stdDeviation='1'/%3e%3cfeOffset dy='-1' in='shadowBlurInner1' result='shadowOffsetInner1'/%3e%3cfeComposite in='shadowOffsetInner1' in2='SourceAlpha' k2='-1' k3='1' operator='arithmetic' result='shadowInnerInner1'/%3e%3cfeColorMatrix in='shadowInnerInner1' values='0 0 0 0 0 0 0 0 0 0.299356041 0 0 0 0 0.681187726 0 0 0 0.3495684 0'/%3e%3c/filter%3e%3cpath id='b' d='M8 0a8 8 0 00-8 8 8 8 0 1016 0 8 8 0 00-8-8z'/%3e%3c/defs%3e%3cg fill='none'%3e%3cuse fill='url(%23a)' xlink:href='%23b'/%3e%3cuse fill='black' filter='url(%23c)' xlink:href='%23b'/%3e%3cpath fill='white' d='M12.162 7.338c.176.123.338.245.338.674 0 .43-.229.604-.474.725a.73.73 0 01.089.546c-.077.344-.392.611-.672.69.121.194.159.385.015.62-.185.295-.346.407-1.058.407H7.5c-.988 0-1.5-.546-1.5-1V7.665c0-1.23 1.467-2.275 1.467-3.13L7.361 3.47c-.005-.065.008-.224.058-.27.08-.079.301-.2.635-.2.218 0 .363.041.534.123.581.277.732.978.732 1.542 0 .271-.414 1.083-.47 1.364 0 0 .867-.192 1.879-.199 1.061-.006 1.749.19 1.749.842 0 .261-.219.523-.316.666zM3.6 7h.8a.6.6 0 01.6.6v3.8a.6.6 0 01-.6.6h-.8a.6.6 0 01-.6-.6V7.6a.6.6 0 01.6-.6z'/%3e%3c/g%3e%3c/svg%3e""]","['/groups/441896274413655/user/100000332305691/?__cft__[0]=AZVN_rqsZ-Neh-gNo8MznzP6-COL4XVeJ-LJspUuogdcKg3KjZXUOtTKswPjJir09HkYlZjmyLEbPsiCAowAk6XEDjAvpkSvOTGa5-c_oZ3LVEVs7tX3WYVCitgqEwQ6I0k&__tn__=%3C%2CP-R', '/groups/441896274413655/user/100000332305691/?__cft__[0]=AZVN_rqsZ-Neh-gNo8MznzP6-COL4XVeJ-LJspUuogdcKg3KjZXUOtTKswPjJir09HkYlZjmyLEbPsiCAowAk6XEDjAvpkSvOTGa5-c_oZ3LVEVs7tX3WYVCitgqEwQ6I0k&__tn__=%3C%3C%2CP-R', '/groups/441896274413655/user/100000332305691/?__cft__[0]=AZVN_rqsZ-Neh-gNo8MznzP6-COL4XVeJ-LJspUuogdcKg3KjZXUOtTKswPjJir09HkYlZjmyLEbPsiCAowAk6XEDjAvpkSvOTGa5-c_oZ3LVEVs7tX3WYVCitgqEwQ6I0k&__tn__=-UC%2CP-R', 'https://www.facebook.com/groups/441896274413655/?__cft__[0]=AZVN_rqsZ-Neh-gNo8MznzP6-COL4XVeJ-LJspUuogdcKg3KjZXUOtTKswPjJir09HkYlZjmyLEbPsiCAowAk6XEDjAvpkSvOTGa5-c_oZ3LVEVs7tX3WYVCitgqEwQ6I0k&__tn__=-UC%2CP-R', 'https://www.facebook.com/groups/441896274413655/posts/443500444253238/?__cft__[0]=AZVN_rqsZ-Neh-gNo8MznzP6-COL4XVeJ-LJspUuogdcKg3KjZXUOtTKswPjJir09HkYlZjmyLEbPsiCAowAk6XEDjAvpkSvOTGa5-c_oZ3LVEVs7tX3WYVCitgqEwQ6I0k&__tn__=%2CO%2CP-R', '/groups/441896274413655/user/100074914059266/?__cft__[0]=AZVN_rqsZ-Neh-gNo8MznzP6-COL4XVeJ-LJspUuogdcKg3KjZXUOtTKswPjJir09HkYlZjmyLEbPsiCAowAk6XEDjAvpkSvOTGa5-c_oZ3LVEVs7tX3WYVCitgqEwQ6I0k&__tn__=-]K-R']",29_05_2022-03_32_07-jafar.mona-partho.csv
"Let's welcome our new members:Mst Arifa Doll,Utpal Mandal,Sourav Ojha,Priyanka Garai,… See more","[""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' xmlns:xlink='http://www.w3.org/1999/xlink' viewBox='0 0 16 16'%3e%3cdefs%3e%3clinearGradient id='a' x1='50%25' x2='50%25' y1='0%25' y2='100%25'%3e%3cstop offset='0%25' stop-color='%2318AFFF'/%3e%3cstop offset='100%25' stop-color='%230062DF'/%3e%3c/linearGradient%3e%3cfilter id='c' width='118.8%25' height='118.8%25' x='-9.4%25' y='-9.4%25' filterUnits='objectBoundingBox'%3e%3cfeGaussianBlur in='SourceAlpha' result='shadowBlurInner1' stdDeviation='1'/%3e%3cfeOffset dy='-1' in='shadowBlurInner1' result='shadowOffsetInner1'/%3e%3cfeComposite in='shadowOffsetInner1' in2='SourceAlpha' k2='-1' k3='1' operator='arithmetic' result='shadowInnerInner1'/%3e%3cfeColorMatrix in='shadowInnerInner1' values='0 0 0 0 0 0 0 0 0 0.299356041 0 0 0 0 0.681187726 0 0 0 0.3495684 0'/%3e%3c/filter%3e%3cpath id='b' d='M8 0a8 8 0 00-8 8 8 8 0 1016 0 8 8 0 00-8-8z'/%3e%3c/defs%3e%3cg fill='none'%3e%3cuse fill='url(%23a)' xlink:href='%23b'/%3e%3cuse fill='black' filter='url(%23c)' xlink:href='%23b'/%3e%3cpath fill='white' d='M12.162 7.338c.176.123.338.245.338.674 0 .43-.229.604-.474.725a.73.73 0 01.089.546c-.077.344-.392.611-.672.69.121.194.159.385.015.62-.185.295-.346.407-1.058.407H7.5c-.988 0-1.5-.546-1.5-1V7.665c0-1.23 1.467-2.275 1.467-3.13L7.361 3.47c-.005-.065.008-.224.058-.27.08-.079.301-.2.635-.2.218 0 .363.041.534.123.581.277.732.978.732 1.542 0 .271-.414 1.083-.47 1.364 0 0 .867-.192 1.879-.199 1.061-.006 1.749.19 1.749.842 0 .261-.219.523-.316.666zM3.6 7h.8a.6.6 0 01.6.6v3.8a.6.6 0 01-.6.6h-.8a.6.6 0 01-.6-.6V7.6a.6.6 0 01.6-.6z'/%3e%3c/g%3e%3c/svg%3e""]","['/groups/631596720758034/user/1511306775/?__cft__[0]=AZWS3Msqrv5igwGB-8uyxeMwRgrc4Xv3Geaj2ON_0bJwPX6J9GJ-275s14B_1cNH7n6Qlf-Hv7avRkfrYS4Qnjnr4zKUWDKKAU6irnUQMJ5ZIfHFHVm4wQXBWWuCVPNn_6g&__tn__=%3C%2CP-R', '/groups/631596720758034/user/1511306775/?__cft__[0]=AZWS3Msqrv5igwGB-8uyxeMwRgrc4Xv3Geaj2ON_0bJwPX6J9GJ-275s14B_1cNH7n6Qlf-Hv7avRkfrYS4Qnjnr4zKUWDKKAU6irnUQMJ5ZIfHFHVm4wQXBWWuCVPNn_6g&__tn__=%3C%3C%2CP-R', '/groups/631596720758034/user/1511306775/?__cft__[0]=AZWS3Msqrv5igwGB-8uyxeMwRgrc4Xv3Geaj2ON_0bJwPX6J9GJ-275s14B_1cNH7n6Qlf-Hv7avRkfrYS4Qnjnr4zKUWDKKAU6irnUQMJ5ZIfHFHVm4wQXBWWuCVPNn_6g&__tn__=-UC%2CP-R', 'https://www.facebook.com/groups/631596720758034/?__cft__[0]=AZWS3Msqrv5igwGB-8uyxeMwRgrc4Xv3Geaj2ON_0bJwPX6J9GJ-275s14B_1cNH7n6Qlf-Hv7avRkfrYS4Qnjnr4zKUWDKKAU6irnUQMJ5ZIfHFHVm4wQXBWWuCVPNn_6g&__tn__=-UC%2CP-R', 'https://www.facebook.com/groups/631596720758034/posts/1086538978597137/?__cft__[0]=AZWS3Msqrv5igwGB-8uyxeMwRgrc4Xv3Geaj2ON_0bJwPX6J9GJ-275s14B_1cNH7n6Qlf-Hv7avRkfrYS4Qnjnr4zKUWDKKAU6irnUQMJ5ZIfHFHVm4wQXBWWuCVPNn_6g&__tn__=%2CO%2CP-R', '/groups/631596720758034/user/100039026061695/?__cft__[0]=AZWS3Msqrv5igwGB-8uyxeMwRgrc4Xv3Geaj2ON_0bJwPX6J9GJ-275s14B_1cNH7n6Qlf-Hv7avRkfrYS4Qnjnr4zKUWDKKAU6irnUQMJ5ZIfHFHVm4wQXBWWuCVPNn_6g&__tn__=-]K-R', '/groups/631596720758034/user/100012659986263/?__cft__[0]=AZWS3Msqrv5igwGB-8uyxeMwRgrc4Xv3Geaj2ON_0bJwPX6J9GJ-275s14B_1cNH7n6Qlf-Hv7avRkfrYS4Qnjnr4zKUWDKKAU6irnUQMJ5ZIfHFHVm4wQXBWWuCVPNn_6g&__tn__=-]K-R', '/groups/631596720758034/user/100010351216546/?__cft__[0]=AZWS3Msqrv5igwGB-8uyxeMwRgrc4Xv3Geaj2ON_0bJwPX6J9GJ-275s14B_1cNH7n6Qlf-Hv7avRkfrYS4Qnjnr4zKUWDKKAU6irnUQMJ5ZIfHFHVm4wQXBWWuCVPNn_6g&__tn__=-]K-R', '/groups/631596720758034/user/100047415442820/?__cft__[0]=AZWS3Msqrv5igwGB-8uyxeMwRgrc4Xv3Geaj2ON_0bJwPX6J9GJ-275s14B_1cNH7n6Qlf-Hv7avRkfrYS4Qnjnr4zKUWDKKAU6irnUQMJ5ZIfHFHVm4wQXBWWuCVPNn_6g&__tn__=-]K-R']",29_05_2022-03_32_07-jafar.mona-partho.csv
"Let's welcome our new members:Ali H Fawzy,ابو محمد بن زايد,Kano Sam,Ahmed Yasser,… See more","[""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' xmlns:xlink='http://www.w3.org/1999/xlink' viewBox='0 0 16 16'%3e%3cdefs%3e%3clinearGradient id='a' x1='50%25' x2='50%25' y1='0%25' y2='100%25'%3e%3cstop offset='0%25' stop-color='%2318AFFF'/%3e%3cstop offset='100%25' stop-color='%230062DF'/%3e%3c/linearGradient%3e%3cfilter id='c' width='118.8%25' height='118.8%25' x='-9.4%25' y='-9.4%25' filterUnits='objectBoundingBox'%3e%3cfeGaussianBlur in='SourceAlpha' result='shadowBlurInner1' stdDeviation='1'/%3e%3cfeOffset dy='-1' in='shadowBlurInner1' result='shadowOffsetInner1'/%3e%3cfeComposite in='shadowOffsetInner1' in2='SourceAlpha' k2='-1' k3='1' operator='arithmetic' result='shadowInnerInner1'/%3e%3cfeColorMatrix in='shadowInnerInner1' values='0 0 0 0 0 0 0 0 0 0.299356041 0 0 0 0 0.681187726 0 0 0 0.3495684 0'/%3e%3c/filter%3e%3cpath id='b' d='M8 0a8 8 0 00-8 8 8 8 0 1016 0 8 8 0 00-8-8z'/%3e%3c/defs%3e%3cg fill='none'%3e%3cuse fill='url(%23a)' xlink:href='%23b'/%3e%3cuse fill='black' filter='url(%23c)' xlink:href='%23b'/%3e%3cpath fill='white' d='M12.162 7.338c.176.123.338.245.338.674 0 .43-.229.604-.474.725a.73.73 0 01.089.546c-.077.344-.392.611-.672.69.121.194.159.385.015.62-.185.295-.346.407-1.058.407H7.5c-.988 0-1.5-.546-1.5-1V7.665c0-1.23 1.467-2.275 1.467-3.13L7.361 3.47c-.005-.065.008-.224.058-.27.08-.079.301-.2.635-.2.218 0 .363.041.534.123.581.277.732.978.732 1.542 0 .271-.414 1.083-.47 1.364 0 0 .867-.192 1.879-.199 1.061-.006 1.749.19 1.749.842 0 .261-.219.523-.316.666zM3.6 7h.8a.6.6 0 01.6.6v3.8a.6.6 0 01-.6.6h-.8a.6.6 0 01-.6-.6V7.6a.6.6 0 01.6-.6z'/%3e%3c/g%3e%3c/svg%3e""]","['/groups/356093087774455/user/100003811451258/?__cft__[0]=AZVGhyKllf9__1HapiCsPDdGl8kmnlvg9KxkVOEew3MOb8Lrpvee68fr5xH_2bq3Q0OioAeUYcaRMJy1TDLOJlbSqtseNj8Mmer5w3taz8j7wgyrYehirxyHTPS47naJHJA&__tn__=%3C%2CP-R', '/groups/356093087774455/user/100003811451258/?__cft__[0]=AZVGhyKllf9__1HapiCsPDdGl8kmnlvg9KxkVOEew3MOb8Lrpvee68fr5xH_2bq3Q0OioAeUYcaRMJy1TDLOJlbSqtseNj8Mmer5w3taz8j7wgyrYehirxyHTPS47naJHJA&__tn__=%3C%3C%2CP-R', '/groups/356093087774455/user/100003811451258/?__cft__[0]=AZVGhyKllf9__1HapiCsPDdGl8kmnlvg9KxkVOEew3MOb8Lrpvee68fr5xH_2bq3Q0OioAeUYcaRMJy1TDLOJlbSqtseNj8Mmer5w3taz8j7wgyrYehirxyHTPS47naJHJA&__tn__=-UC%2CP-R', 'https://www.facebook.com/groups/Accountants.Syrians/?__cft__[0]=AZVGhyKllf9__1HapiCsPDdGl8kmnlvg9KxkVOEew3MOb8Lrpvee68fr5xH_2bq3Q0OioAeUYcaRMJy1TDLOJlbSqtseNj8Mmer5w3taz8j7wgyrYehirxyHTPS47naJHJA&__tn__=-UC%2CP-R', 'https://www.facebook.com/groups/Accountants.Syrians/posts/5366290176754696/?__cft__[0]=AZVGhyKllf9__1HapiCsPDdGl8kmnlvg9KxkVOEew3MOb8Lrpvee68fr5xH_2bq3Q0OioAeUYcaRMJy1TDLOJlbSqtseNj8Mmer5w3taz8j7wgyrYehirxyHTPS47naJHJA&__tn__=%2CO%2CP-R', '/groups/356093087774455/user/100012475843755/?__cft__[0]=AZVGhyKllf9__1HapiCsPDdGl8kmnlvg9KxkVOEew3MOb8Lrpvee68fr5xH_2bq3Q0OioAeUYcaRMJy1TDLOJlbSqtseNj8Mmer5w3taz8j7wgyrYehirxyHTPS47naJHJA&__tn__=-]K-R', '/groups/356093087774455/user/100046559863643/?__cft__[0]=AZVGhyKllf9__1HapiCsPDdGl8kmnlvg9KxkVOEew3MOb8Lrpvee68fr5xH_2bq3Q0OioAeUYcaRMJy1TDLOJlbSqtseNj8Mmer5w3taz8j7wgyrYehirxyHTPS47naJHJA&__tn__=-]K-R', '/groups/356093087774455/user/100079548049740/?__cft__[0]=AZVGhyKllf9__1HapiCsPDdGl8kmnlvg9KxkVOEew3MOb8Lrpvee68fr5xH_2bq3Q0OioAeUYcaRMJy1TDLOJlbSqtseNj8Mmer5w3taz8j7wgyrYehirxyHTPS47naJHJA&__tn__=-]K-R', '/groups/356093087774455/user/100001043479177/?__cft__[0]=AZVGhyKllf9__1HapiCsPDdGl8kmnlvg9KxkVOEew3MOb8Lrpvee68fr5xH_2bq3Q0OioAeUYcaRMJy1TDLOJlbSqtseNj8Mmer5w3taz8j7wgyrYehirxyHTPS47naJHJA&__tn__=-]K-R']",29_05_2022-03_32_07-jafar.mona-partho.csv
"Let's welcome our new members:نذير نذير,Mustapha El Hadj,جمال بركان,مصطفى المشيرفى,… See more","[""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' xmlns:xlink='http://www.w3.org/1999/xlink' viewBox='0 0 16 16'%3e%3cdefs%3e%3clinearGradient id='a' x1='50%25' x2='50%25' y1='0%25' y2='100%25'%3e%3cstop offset='0%25' stop-color='%2318AFFF'/%3e%3cstop offset='100%25' stop-color='%230062DF'/%3e%3c/linearGradient%3e%3cfilter id='c' width='118.8%25' height='118.8%25' x='-9.4%25' y='-9.4%25' filterUnits='objectBoundingBox'%3e%3cfeGaussianBlur in='SourceAlpha' result='shadowBlurInner1' stdDeviation='1'/%3e%3cfeOffset dy='-1' in='shadowBlurInner1' result='shadowOffsetInner1'/%3e%3cfeComposite in='shadowOffsetInner1' in2='SourceAlpha' k2='-1' k3='1' operator='arithmetic' result='shadowInnerInner1'/%3e%3cfeColorMatrix in='shadowInnerInner1' values='0 0 0 0 0 0 0 0 0 0.299356041 0 0 0 0 0.681187726 0 0 0 0.3495684 0'/%3e%3c/filter%3e%3cpath id='b' d='M8 0a8 8 0 00-8 8 8 8 0 1016 0 8 8 0 00-8-8z'/%3e%3c/defs%3e%3cg fill='none'%3e%3cuse fill='url(%23a)' xlink:href='%23b'/%3e%3cuse fill='black' filter='url(%23c)' xlink:href='%23b'/%3e%3cpath fill='white' d='M12.162 7.338c.176.123.338.245.338.674 0 .43-.229.604-.474.725a.73.73 0 01.089.546c-.077.344-.392.611-.672.69.121.194.159.385.015.62-.185.295-.346.407-1.058.407H7.5c-.988 0-1.5-.546-1.5-1V7.665c0-1.23 1.467-2.275 1.467-3.13L7.361 3.47c-.005-.065.008-.224.058-.27.08-.079.301-.2.635-.2.218 0 .363.041.534.123.581.277.732.978.732 1.542 0 .271-.414 1.083-.47 1.364 0 0 .867-.192 1.879-.199 1.061-.006 1.749.19 1.749.842 0 .261-.219.523-.316.666zM3.6 7h.8a.6.6 0 01.6.6v3.8a.6.6 0 01-.6.6h-.8a.6.6 0 01-.6-.6V7.6a.6.6 0 01.6-.6z'/%3e%3c/g%3e%3c/svg%3e""]","['/groups/260658955430434/user/100067846759775/?__cft__[0]=AZWSs4RsFovIIoadKTVYh-sl43gAtY-JppprDQyT3aHKhKsiqzFE_K9m2G4qclVUmzuL4lLxJCoc9BU1W2wK5sof-DrZHDudW3JT4eEx103Po316SLJZ8UwIcOSt_S9JW3U&__tn__=%3C%2CP-R', '/groups/260658955430434/user/100067846759775/?__cft__[0]=AZWSs4RsFovIIoadKTVYh-sl43gAtY-JppprDQyT3aHKhKsiqzFE_K9m2G4qclVUmzuL4lLxJCoc9BU1W2wK5sof-DrZHDudW3JT4eEx103Po316SLJZ8UwIcOSt_S9JW3U&__tn__=%3C%3C%2CP-R', '/groups/260658955430434/user/100067846759775/?__cft__[0]=AZWSs4RsFovIIoadKTVYh-sl43gAtY-JppprDQyT3aHKhKsiqzFE_K9m2G4qclVUmzuL4lLxJCoc9BU1W2wK5sof-DrZHDudW3JT4eEx103Po316SLJZ8UwIcOSt_S9JW3U&__tn__=-UC%2CP-R', 'https://www.facebook.com/groups/260658955430434/?__cft__[0]=AZWSs4RsFovIIoadKTVYh-sl43gAtY-JppprDQyT3aHKhKsiqzFE_K9m2G4qclVUmzuL4lLxJCoc9BU1W2wK5sof-DrZHDudW3JT4eEx103Po316SLJZ8UwIcOSt_S9JW3U&__tn__=-UC%2CP-R', 'https://www.facebook.com/groups/260658955430434/posts/550206573142336/?__cft__[0]=AZWSs4RsFovIIoadKTVYh-sl43gAtY-JppprDQyT3aHKhKsiqzFE_K9m2G4qclVUmzuL4lLxJCoc9BU1W2wK5sof-DrZHDudW3JT4eEx103Po316SLJZ8UwIcOSt_S9JW3U&__tn__=%2CO%2CP-R', '/groups/260658955430434/user/100021970031584/?__cft__[0]=AZWSs4RsFovIIoadKTVYh-sl43gAtY-JppprDQyT3aHKhKsiqzFE_K9m2G4qclVUmzuL4lLxJCoc9BU1W2wK5sof-DrZHDudW3JT4eEx103Po316SLJZ8UwIcOSt_S9JW3U&__tn__=-]K-R', '/groups/260658955430434/user/100069678830230/?__cft__[0]=AZWSs4RsFovIIoadKTVYh-sl43gAtY-JppprDQyT3aHKhKsiqzFE_K9m2G4qclVUmzuL4lLxJCoc9BU1W2wK5sof-DrZHDudW3JT4eEx103Po316SLJZ8UwIcOSt_S9JW3U&__tn__=-]K-R', '/groups/260658955430434/user/100020736060451/?__cft__[0]=AZWSs4RsFovIIoadKTVYh-sl43gAtY-JppprDQyT3aHKhKsiqzFE_K9m2G4qclVUmzuL4lLxJCoc9BU1W2wK5sof-DrZHDudW3JT4eEx103Po316SLJZ8UwIcOSt_S9JW3U&__tn__=-]K-R', '/groups/260658955430434/user/100029603388689/?__cft__[0]=AZWSs4RsFovIIoadKTVYh-sl43gAtY-JppprDQyT3aHKhKsiqzFE_K9m2G4qclVUmzuL4lLxJCoc9BU1W2wK5sof-DrZHDudW3JT4eEx103Po316SLJZ8UwIcOSt_S9JW3U&__tn__=-]K-R']",29_05_2022-03_32_07-jafar.mona-partho.csv
