ID_Name,Pro_Posts,img_link,Post_Path
beshalim01,"সিজদায় সবচেয়ে অসাধারণ বিষয়টা হচ্ছে, আপনি চুপিসারে জমিনে ফিসফিস করে বলছেন, আর আরশে আজিম থেকে স্বয়ং আল্লাহ শুনছেন।","[""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' xmlns:xlink='http://www.w3.org/1999/xlink' viewBox='0 0 16 16'%3e%3cdefs%3e%3clinearGradient id='a' x1='50%25' x2='50%25' y1='0%25' y2='100%25'%3e%3cstop offset='0%25' stop-color='%2318AFFF'/%3e%3cstop offset='100%25' stop-color='%230062DF'/%3e%3c/linearGradient%3e%3cfilter id='c' width='118.8%25' height='118.8%25' x='-9.4%25' y='-9.4%25' filterUnits='objectBoundingBox'%3e%3cfeGaussianBlur in='SourceAlpha' result='shadowBlurInner1' stdDeviation='1'/%3e%3cfeOffset dy='-1' in='shadowBlurInner1' result='shadowOffsetInner1'/%3e%3cfeComposite in='shadowOffsetInner1' in2='SourceAlpha' k2='-1' k3='1' operator='arithmetic' result='shadowInnerInner1'/%3e%3cfeColorMatrix in='shadowInnerInner1' values='0 0 0 0 0 0 0 0 0 0.299356041 0 0 0 0 0.681187726 0 0 0 0.3495684 0'/%3e%3c/filter%3e%3cpath id='b' d='M8 0a8 8 0 00-8 8 8 8 0 1016 0 8 8 0 00-8-8z'/%3e%3c/defs%3e%3cg fill='none'%3e%3cuse fill='url(%23a)' xlink:href='%23b'/%3e%3cuse fill='black' filter='url(%23c)' xlink:href='%23b'/%3e%3cpath fill='white' d='M12.162 7.338c.176.123.338.245.338.674 0 .43-.229.604-.474.725a.73.73 0 01.089.546c-.077.344-.392.611-.672.69.121.194.159.385.015.62-.185.295-.346.407-1.058.407H7.5c-.988 0-1.5-.546-1.5-1V7.665c0-1.23 1.467-2.275 1.467-3.13L7.361 3.47c-.005-.065.008-.224.058-.27.08-.079.301-.2.635-.2.218 0 .363.041.534.123.581.277.732.978.732 1.542 0 .271-.414 1.083-.47 1.364 0 0 .867-.192 1.879-.199 1.061-.006 1.749.19 1.749.842 0 .261-.219.523-.316.666zM3.6 7h.8a.6.6 0 01.6.6v3.8a.6.6 0 01-.6.6h-.8a.6.6 0 01-.6-.6V7.6a.6.6 0 01.6-.6z'/%3e%3c/g%3e%3c/svg%3e""]",29_05_2022-05_42_48-beshalim01-post-partho.csv
beshalim01,"রিজিকের অভাব নিয়ে কথোপকথন হওয়া উচিত কেবলই রিজিকের মালিকের সাথে, অন্যের সাথে নই !!","[""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' xmlns:xlink='http://www.w3.org/1999/xlink' viewBox='0 0 16 16'%3e%3cdefs%3e%3clinearGradient id='a' x1='50%25' x2='50%25' y1='0%25' y2='100%25'%3e%3cstop offset='0%25' stop-color='%2318AFFF'/%3e%3cstop offset='100%25' stop-color='%230062DF'/%3e%3c/linearGradient%3e%3cfilter id='c' width='118.8%25' height='118.8%25' x='-9.4%25' y='-9.4%25' filterUnits='objectBoundingBox'%3e%3cfeGaussianBlur in='SourceAlpha' result='shadowBlurInner1' stdDeviation='1'/%3e%3cfeOffset dy='-1' in='shadowBlurInner1' result='shadowOffsetInner1'/%3e%3cfeComposite in='shadowOffsetInner1' in2='SourceAlpha' k2='-1' k3='1' operator='arithmetic' result='shadowInnerInner1'/%3e%3cfeColorMatrix in='shadowInnerInner1' values='0 0 0 0 0 0 0 0 0 0.299356041 0 0 0 0 0.681187726 0 0 0 0.3495684 0'/%3e%3c/filter%3e%3cpath id='b' d='M8 0a8 8 0 00-8 8 8 8 0 1016 0 8 8 0 00-8-8z'/%3e%3c/defs%3e%3cg fill='none'%3e%3cuse fill='url(%23a)' xlink:href='%23b'/%3e%3cuse fill='black' filter='url(%23c)' xlink:href='%23b'/%3e%3cpath fill='white' d='M12.162 7.338c.176.123.338.245.338.674 0 .43-.229.604-.474.725a.73.73 0 01.089.546c-.077.344-.392.611-.672.69.121.194.159.385.015.62-.185.295-.346.407-1.058.407H7.5c-.988 0-1.5-.546-1.5-1V7.665c0-1.23 1.467-2.275 1.467-3.13L7.361 3.47c-.005-.065.008-.224.058-.27.08-.079.301-.2.635-.2.218 0 .363.041.534.123.581.277.732.978.732 1.542 0 .271-.414 1.083-.47 1.364 0 0 .867-.192 1.879-.199 1.061-.006 1.749.19 1.749.842 0 .261-.219.523-.316.666zM3.6 7h.8a.6.6 0 01.6.6v3.8a.6.6 0 01-.6.6h-.8a.6.6 0 01-.6-.6V7.6a.6.6 0 01.6-.6z'/%3e%3c/g%3e%3c/svg%3e""]",29_05_2022-05_42_48-beshalim01-post-partho.csv
beshalim01,"বঙ্গবন্ধুর ৭ই মার্চের ঐতিহাসিক ভাষণ ছিল আমাদের মুক্তির সনদ।  এই ভাষণটি ছিল বিশ্বের সর্বশ্রেষ্ঠ ভাষণগুলোর একটি। সত্যি বঙ্গবন্ধু সেদিন সৃষ্টি করলেন এক অনন্য ইতিহাস। সেই ইতিহাসের হাত ধরেই জন্ম নিল স্বাধীন সার্বভৌম বাংলাদেশ, একটি জাতীয় পতাকা, একটি জাতীয় সংগীত।","[""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' xmlns:xlink='http://www.w3.org/1999/xlink' viewBox='0 0 16 16'%3e%3cdefs%3e%3clinearGradient id='a' x1='50%25' x2='50%25' y1='0%25' y2='100%25'%3e%3cstop offset='0%25' stop-color='%2318AFFF'/%3e%3cstop offset='100%25' stop-color='%230062DF'/%3e%3c/linearGradient%3e%3cfilter id='c' width='118.8%25' height='118.8%25' x='-9.4%25' y='-9.4%25' filterUnits='objectBoundingBox'%3e%3cfeGaussianBlur in='SourceAlpha' result='shadowBlurInner1' stdDeviation='1'/%3e%3cfeOffset dy='-1' in='shadowBlurInner1' result='shadowOffsetInner1'/%3e%3cfeComposite in='shadowOffsetInner1' in2='SourceAlpha' k2='-1' k3='1' operator='arithmetic' result='shadowInnerInner1'/%3e%3cfeColorMatrix in='shadowInnerInner1' values='0 0 0 0 0 0 0 0 0 0.299356041 0 0 0 0 0.681187726 0 0 0 0.3495684 0'/%3e%3c/filter%3e%3cpath id='b' d='M8 0a8 8 0 00-8 8 8 8 0 1016 0 8 8 0 00-8-8z'/%3e%3c/defs%3e%3cg fill='none'%3e%3cuse fill='url(%23a)' xlink:href='%23b'/%3e%3cuse fill='black' filter='url(%23c)' xlink:href='%23b'/%3e%3cpath fill='white' d='M12.162 7.338c.176.123.338.245.338.674 0 .43-.229.604-.474.725a.73.73 0 01.089.546c-.077.344-.392.611-.672.69.121.194.159.385.015.62-.185.295-.346.407-1.058.407H7.5c-.988 0-1.5-.546-1.5-1V7.665c0-1.23 1.467-2.275 1.467-3.13L7.361 3.47c-.005-.065.008-.224.058-.27.08-.079.301-.2.635-.2.218 0 .363.041.534.123.581.277.732.978.732 1.542 0 .271-.414 1.083-.47 1.364 0 0 .867-.192 1.879-.199 1.061-.006 1.749.19 1.749.842 0 .261-.219.523-.316.666zM3.6 7h.8a.6.6 0 01.6.6v3.8a.6.6 0 01-.6.6h-.8a.6.6 0 01-.6-.6V7.6a.6.6 0 01.6-.6z'/%3e%3c/g%3e%3c/svg%3e""]",29_05_2022-05_42_48-beshalim01-post-partho.csv
beshalim01,"আগামীর অনাগত দিনগুলো ভালোভাবে কাটুক, এই কামনায় করি।শুভ জন্মদিন কাকু",['https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/xKHb3VCQr1j.png'],29_05_2022-05_42_48-beshalim01-post-partho.csv
beshalim01,"মোঃ ফারুক, আপনার প্রতি রইলো আমাদের অশেষ কৃতজ্ঞতা ও দোয়া  ব্যাগটি ফেরত দিয়ে অনেক উপকার করলেন যা অস্বীকার যোগ্য নয়।",['https://static.xx.fbcdn.net/images/emoji.php/v9/t6c/1/16/2764.png'],29_05_2022-05_42_48-beshalim01-post-partho.csv
beshalim01,I am GPA 5,['https://static.xx.fbcdn.net/images/emoji.php/v9/t61/1/16/270c.png'],29_05_2022-05_42_48-beshalim01-post-partho.csv
beshalim01,"আমরা সবাই তীব্র ভাবে সমালোচনা করি, কিন্তু একজনও প্রতিবাদ করি না - কেন ?আপনাদের এলাকার রাস্তা কিংবা আপনার বাড়ির পাশের রাস্তার গুনগত মানের জন্য ঠিকাদার কিংবা ইঞ্জিনিয়ারের কোন দোষ নেই।  দোষ কেবলই আপনাদের! এমনকি ঐ স্থানের জনগনের, কারন আপনারা কাজটি সঠিক ভাবে বুঝে নিতে অক্ষম হয়েছেন। দৌলতপুরে রাস্তার ঘাটতি নেই, কিন্তু গুনগত রাস্তার কোন চিহ্ন নেই । তাই সচেতন হওয়া আমাদের সকলের  দায়িক্ত। দৌলতপুর উপজেলার তারুণ্যের আইকন এবং দৌলতপুর উপজেলার প্রকৌশল সমাজের অহংকার। যিনি  রাজনীতি করার পর ভ… See more",['https://scontent.fdac22-1.fna.fbcdn.net/v/t15.5256-10/272844320_655130349174460_696282423429667008_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=p8OuaFyDEA0AX_mMEHE&_nc_ht=scontent.fdac22-1.fna&oh=00_AT9gjkcjEqCfHxp8B0rljJ03ml3tqP6xMpioq2DbZJWwIw&oe=629827BD'],29_05_2022-05_42_48-beshalim01-post-partho.csv
beshalim01,হ্যাডম বোঝেন?হ্যাডম??ইন্টারন্যাশনাল প্রেসের সামনে তৎকালীন পাকিস্তানের মাটিতে দাঁড়িয়ে বলতেছেন:-,['https://scontent.fdac22-1.fna.fbcdn.net/v/t15.5256-10/272591382_679870363394987_6908528881851912637_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=guaNMq5WngAAX_U_8Kc&_nc_ht=scontent.fdac22-1.fna&oh=00_AT-sOZzHyqC_-np1BH0mSmIb8IA-4zEwt7zztGPPYmf35g&oe=62993A1A'],29_05_2022-05_42_48-beshalim01-post-partho.csv
beshalim01,"সঠিক নেতৃত্বের প্রভাবে একটি শিক্ষা প্রতিষ্ঠানে  নতুনত্বের ছোঁয়া পেয়েছে। এই নতুনত্বের ছোঁয়া, যাবিগত সময়ে কল্পনাতীত ছিল। ",['https://scontent.fdac22-1.fna.fbcdn.net/v/t39.30808-6/272057758_3222992541354621_4081479485578782479_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=UMMabLkW3SEAX8zvBbf&_nc_ht=scontent.fdac22-1.fna&oh=00_AT9R0ODCiexDmJgFGJa0Z0-x88ARgNjsGkVVFgck39WdMw&oe=6299072B'],29_05_2022-05_42_48-beshalim01-post-partho.csv
beshalim01,সর্বদাই প্রাণবন্ত ও হাস্যজ্জল একটি ফ্রেম !!,['https://scontent.fdac22-1.fna.fbcdn.net/v/t1.6435-9/136424873_10218233009156819_781159386933286067_n.jpg?stp=dst-jpg_p180x540&_nc_cat=105&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=NqZ2MjdZHF8AX9pduMe&tn=hVS-kqVwmU-EhgZW&_nc_ht=scontent.fdac22-1.fna&oh=00_AT8iWDkOr0hfehez4dOnLbDxvB0rLEXNccrh7D6wEdMIxw&oe=62BA3F1B'],29_05_2022-05_42_48-beshalim01-post-partho.csv
beshalim01,একটি স্বপ্নের ঘরে ফেরা,['https://static.xx.fbcdn.net/images/emoji.php/v9/t6c/1/16/2764.png'],29_05_2022-05_42_48-beshalim01-post-partho.csv
beshalim01,"মাননীয় প্রধানমন্ত্রী,যিনি শুধু বক্তব্যে সীমাবদ্ধ না থেকে কাজের মাধ্যমে এই দেশকে সামনে এগিয়ে নিয়ে যাচ্ছে!! ",['https://scontent.fdac22-1.fna.fbcdn.net/v/t39.30808-6/271642488_641786010601741_4947737354164227891_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=8TVto1t2vhcAX_E6sWK&_nc_ht=scontent.fdac22-1.fna&oh=00_AT90z14GVg4V8vV7h2BbJbeqgI6DqqMklW2ef37LDy_HOw&oe=62979F17'],29_05_2022-05_42_48-beshalim01-post-partho.csv
