date,Post,media,datetime,desc,link,img
11 hours ago,Terry Francona returns to managing Cleveland Guardians following bout with COVID-19,,2022-05-18 11:44:42.287915,bookmark_border,news.google.com/./articles/CBMifGh0dHBzOi8vd3d3LmVzcG4uY29tL21sYi9zdG9yeS9fL2lkLzMzOTM5NjIyL3RlcnJ5LWZyYW5jb25hLXJldHVybnMtbWFuYWdpbmctY2xldmVsYW5kLWd1YXJkaWFucy1mb2xsb3dpbmctY292aWQtMTktb3V0YnJlYWvSAYkBaHR0cHM6Ly93d3cuZXNwbi5jb20vbWxiL3N0b3J5L18vaWQvMzM5Mzk2MjIvdGVycnktZnJhbmNvbmEtcmV0dXJucy1tYW5hZ2luZy1jbGV2ZWxhbmQtZ3VhcmRpYW5zLWZvbGxvd2luZy1jb3ZpZC0xOS1vdXRicmVhaz9wbGF0Zm9ybT1hbXA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/uMehvPsWJV6kJsyTpTqjB60i3uGHOlFgn8axkodfz08AW-DJn85qiDBrJjOfAMdefW_gwlCwpc1T_rhCX0od54l5da-pEPgeQVBSgB-EN6ZAr0sdoLVg1miH=s0-w100-h100-dcCQCazRXqBiED
7 hours ago,Large U.K. study links vaccination after Covid infection to lower odds of long Covid symptoms,,2022-05-18 15:44:42.287915,bookmark_border,news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnN0YXRuZXdzLmNvbS8yMDIyLzA1LzE4L3N0dWR5LWxpbmtzLXZhY2NpbmF0aW9uLWFmdGVyLWNvdmlkLWluZmVjdGlvbi10by1sb3dlci1vZGRzLWxvbmctY292aWQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/_sFTX9C_uSbz16M677FIlc9eAMDr6JPC29PImTTxV-DSLgUEczCiup0g3j4iAcQmagXiImM-9wPNuJIYuYRkrgbuT735Tkiun1mzrZF5zrg6Lqrk82-80vFbYrBGCkUjbGt_=s0-w100-h100-dcgTGW9BgJ
11 hours ago,"Illinois COVID Update Today: IL reports 5,763 new coronavirus cases, 11 deaths",,2022-05-18 11:44:42.288915,bookmark_border,news.google.com/./articles/CBMiRmh0dHBzOi8vYWJjN2NoaWNhZ28uY29tL2NvdmlkLWNhc2VzLWlsbGlub2lzLXRlc3RpbmctdmFjY2luZS8xMTg2NTE4OC_SAUpodHRwczovL2FiYzdjaGljYWdvLmNvbS9hbXAvY292aWQtY2FzZXMtaWxsaW5vaXMtdGVzdGluZy12YWNjaW5lLzExODY1MTg4Lw?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/rpoPERyeXo63tgz3r_M_3UHwjCEbsC_kStIAjw-ATbt1ZqraX1KhsLjVlham4fZtZfquv4UFqdpW56nWSmsVTvKp_7iUKiXPi8jlllhYFMOTXsuCjlTsf1LG-qyFvNraYgEs0OMuhFwO7ZN_DA=s0-w100-h100-dcAQKIjD0E
5 hours ago,COVID in California: Hospitalizations and deaths set to rise in nearly every state,,2022-05-18 17:44:42.288915,bookmark_border,news.google.com/./articles/CAIiEJ1afbyJVxB6MbLTu_wndvkqGQgEKhAIACoHCAowk-T4CjDyst8CMPiZsgU?uo=CAUiY2h0dHBzOi8vd3d3LnNmY2hyb25pY2xlLmNvbS9oZWFsdGgvYXJ0aWNsZS9DT1ZJRC1pbi1DYWxpZm9ybmlhLUxhdGVzdC1uZXdzLWFzLUJheS1BcmVhLTE3MTgwMjYzLnBocNIBAA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/zMq5BbN9NA-64w3FiRD-MbRtDbT8vExQzsTJRKOjc9lqfXrwx461SkpAKYBlHaTy04aFuKORMHxlv-o8PWW7cpaFaFKBTTV_ULMzrLr74ZBUij2RlRt5Pps=s0-w100-h100-dcJVCIzaEH
7 hours ago,Opinion | The Covid Pandemic Still Isn’t Over. So What Now?,,2022-05-18 15:44:42.289916,Opinion,news.google.com/./articles/CAIiEM305cclGBZJY9zZ6zuh3eYqFwgEKg8IACoHCAowjuuKAzCWrzwwt4QY?uo=CAUiRmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjIvMDUvMTgvb3Bpbmlvbi9jb3ZpZC1vbWljcm9uLXBhbmRlbWljLmh0bWzSAQA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/NLeOOTCJ9-3J_hN4587dQPdLi6uT52nGWZlMsh6yPxCLCjUGChkGhXsgikVFofrMqddmT4zgC_crQQCICI04Q8N_zjqjTWLB4M4ZQLUv6e6dwBWBTJG0tB9MXIw1KVIb-VqzxybyF18Z721bRUeG0xTThO6jXlEJ8MJAG7g30RkA5cvYwvJJxd_RIfMZHyFIgw=s0-w100-h100-dcJQSEjZUF
13 hours ago,WHO is ‘deeply concerned’ about North Korean COVID outbreak,,2022-05-18 09:44:42.289916,bookmark_border,news.google.com/./articles/CAIiEO7dagVJ8pbmJQpe-4NRpo0qGQgEKhAIACoHCAow6-PzCjD7sNQCMIbmlgY?uo=CAUiXGh0dHBzOi8vd3d3LnBicy5vcmcvbmV3c2hvdXIvd29ybGQvd2hvLWlzLWRlZXBseS1jb25jZXJuZWQtYWJvdXQtbm9ydGgta29yZWFuLWNvdmlkLW91dGJyZWFr0gEA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/S6QCraHmbIKFvjpw4VUktO0H4U2vHERAPIcZSvSrf7ecMaodY_8kycdyeOJfvPuddCF7rDmxKtTIyrhUDqe8qdK9FSIbpQaVMTZLG3OhHtjdlYe5teYBYun8JvMFNyn5eNMnTC3I1Jv8HTpicrHIu_g30pCkNtUs9U94jT4L5RHSDgOQwOVo6hU4jAUQebFCeytg0vBZU6bGrkQGTiGztbXKixwY543Fx5y47PChSDM=s0-w100-h100-dcBVGItiBpgyoC
9 hours ago,"Long Covid symptoms in older Americans are often difficult to recognize, experts say",,2022-05-18 13:44:42.289916,bookmark_border,news.google.com/./articles/CAIiEI0nqxbNgE06tQGdoaI9--QqGQgEKhAIACoHCAowocv1CjCSptoCMLrUpgU?uo=CAUiT2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wNS8xOC9oZWFsdGgvbG9uZy1jb3ZpZC1vbGRlci1hbWVyaWNhbnMta2huL2luZGV4Lmh0bWzSAQA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/tHI8opk1p3RnFqvXOajyxCf9t-6_3SLdDUCPHxnnAQdH7Lcp0Ej7zkmHLiiRItcpsp84OKzjKPDEnrYt5moXUePFvCI_zzc_RavL6L3n5SA-EVytimQdAs89sTi6Ws5AD0poonR4e2jzFurOUmDODbessgEovioWa6R3ZwuUMIekNSe9gjdP2xUr4XN_FyuZWmn8D20vWa0poNldEKkpwSeUtshcUWbQINiRa13ERZhdFGy5xlkQOKZDoIrVA1VCAEzz2zoMqJkcEIgM_ygB=s0-w100-h100-dcAQCKFZQn0CH7SlQ
16 hours ago,"Covid-19 wastewater surveillance is promising tool, but critical challenges remain",,2022-05-18 06:44:42.290915,bookmark_border,news.google.com/./articles/CAIiECLPQmOSjKvGmrN41RxEnCwqGQgEKhAIACoHCAowocv1CjCSptoCMLrUpgU?uo=CAUiVWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wNS8xOC9oZWFsdGgvY292aWQtd2FzdGV3YXRlci1kYXRhLW5vdC11bmRlcnN0b29kL2luZGV4Lmh0bWzSAQA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/I-MVm7Lm8b-x7MpTBP92Ivy-KeoVrj-AZuSRngU_mdRlpVogESZ8Z6YQoLf2N_qRqSnHKH6z65lqylKE0VPuEOajEZYLrwKXjvrHXMvubnbfx8ikP6kIfCNPEgFmCYlsgLwijlAss4fDBr4Rk7K-VUcF4TIA79fox7VJUGk2d7Ya4sTQ5AacGC1grVTAfrkMBBIu8EKCWwzR7pTsFPuCDnLz9t1s4WVwoyD3uz2vRQedw5EF09sALQ-oZPuO5xgHzuq3r5R5HiBK4LI=s0-w100-h100-dcLSWKzhUK
6 hours ago,"CDC elevates Summit County, Utah to medium risk for COVID-19",,2022-05-18 16:44:42.290915,bookmark_border,news.google.com/./articles/CAIiEP4xGEPRwnwNkf5fkTzcHX0qGQgEKhAIACoHCAow4P_3CjD_3tgCMMiK7QU?uo=CAUifWh0dHBzOi8vd3d3LmRlc2VyZXQuY29tL3V0YWgvMjAyMi81LzE4LzIzMTI0MTEzL2NkYy1lbGV2YXRlcy1zdW1taXQtY291bnR5LXV0YWgtbWVkaXVtLXJpc2stY292aWQtaW5mZWN0aW9ucy1ob3NwaXRhbGl6YXRpb25z0gEA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/fnIo-Xt_feooeCGjtyTFpm13DJaETCSbcElYXMhc3hNSs-mDtBl1NJ7BGA6s4mjRuo6FM8-5KzZo3UpZ4_QLw_c21RH63u7WrhzsTlsGjwBTPIyugTcGHbG0xSlRwP2XQnlLiBCOprHMrg9l84rLj8wEuAvyaYbY1U4gu9XdSqt9aODdRIKuHxkl91mXDeo3RD88Ilc4XtspZRzYN7RoKJg8j8HgQzAy0RRcD75_r9nerIhtUHQj4sx_uQkA7fRUNQ9lKgEiwHwsRYL8M89e6XjEkZ7AfO54YJCGlGuweAGkUCcd-I5gB5vCKBe2O_T9Ua5QBzxBvsk1dDnxHgzA2-D2L8w-aQ64Qezlhn6Gq_uyIw4tzD_XGDf3pP-s2WXVH7tblqzgVLLf3HOj3eYVlJz5cTSqoHh4OBCuZjONVM7lf4nYJ2QLEi5ItpfycfkrIfphwpVADPeevQ3KfpaUfJUH8slPgtp4_iwoBF2shn4h7slo1ScBsY6lNVr4a9kf-RUY=s0-w100-h100-dcmcCGEUkE
12 hours ago,OHSU coronavirus (COVID-19) response,,2022-05-18 10:44:42.290915,bookmark_border,news.google.com/./articles/CBMiTGh0dHBzOi8vbmV3cy5vaHN1LmVkdS8yMDIyLzA1LzE4L3ByZXBhcmluZy1mb3ItdGhlLW5vdmVsLWNvcm9uYXZpcnVzLWF0LW9oc3XSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/z9rcVumN7zC8YzELtomJpwItEHE0axLLwhh9dgdFb372x3mlKLUoQOs1r6queTf0MpQ42mVkz7scJ4YoVY464OqGbKEX61tAA_S3I2z2Lf-t5F5suleQFoPw9pjt9vPudrWqjZQbtJ4tX9UCyA=s0-w100-h100-dcgWGKKrHkue0B
