date,Post,media,datetime,desc,link,img
10 hours ago,Covid-19 Tracker: Out of control,,2022-05-18 13:00:36.571423,bookmark_border,news.google.com/./articles/CBMiMWh0dHBzOi8vbWlzc2lvbmxvY2FsLm9yZy8yMDIyLzA1LzUtMTgtMjItdHJhY2tlci_SATFodHRwczovL21pc3Npb25sb2NhbC5vcmcvMjAyMi8wNS81LTE4LTIyLXRyYWNrZXIv?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/tzCQ6ufNxyk8_JPELtopt9TV85vcNcjW4peTcm_l8_l5gzSoKT83b_Kn6WiL8sggkXwAf9IMYC4ZaybYe9zw-MjSL4ZKKwJi-F4ESx3Z8q4fec9vNQDriD58xV_zKQgk4oAkqhFSGIpdPK6liOW5beMXOri0zdpvgDQjTsrvp_MnisS6j0UiNcNSPiYxk_8mbM2xN4pOK2QOdX8lJHvFqFXfQGuvztk_NaDdzQ=s0-w100-h100-dcgQSszQUO
11 hours ago,Coronavirus Disease (COVID-19): Weekly Epidemiological Update (18 May 2022) - World,,2022-05-18 12:00:36.571423,bookmark_border,news.google.com/./articles/CAIiEMyCnE70I8q5FzLaU3VlD-sqGQgEKhAIACoHCAow4OH9CjCg6_UCMJ-42gU?uo=CAUiaWh0dHBzOi8vcmVsaWVmd2ViLmludC9yZXBvcnQvd29ybGQvY29yb25hdmlydXMtZGlzZWFzZS1jb3ZpZC0xOS13ZWVrbHktZXBpZGVtaW9sb2dpY2FsLXVwZGF0ZS0xOC1tYXktMjAyMtIBAA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/VjAcyqIUHjPcg0o4u1rzHqsJ4DV13skJBYodgTOCM5nIKzSraAabcCSXvVSCd09F5tZWOgWAacdkZUY_Z_jl9st8IHv7ZaU9uqOiZAPgzZrkO4aTbgb34Cr0pIVII1H9f7LCVSuqnHsWXujvMwxMyACEMtqQAmbOZ-87p9Z54U75jCXg87GnOpSRLf5o9WoT=s0-w100-h100-dcCQOGhQ6sXPYA
9 hours ago,"‘You will be exposed’ to the coronavirus, Oregon health officials say, though COVID-19 wave relatively mild",,2022-05-18 14:00:36.571423,bookmark_border,news.google.com/./articles/CAIiEHv4b6xkLwOuZajpYckYuj0qGQgEKhAIACoHCAownqX_CjCltfgCMJm5pAY?uo=CAUikgFodHRwczovL3d3dy5vcmVnb25saXZlLmNvbS9jb3JvbmF2aXJ1cy8yMDIyLzA1L3lvdS13aWxsLWJlLWV4cG9zZWQtdG8tdGhlLWNvcm9uYXZpcnVzLW9yZWdvbi1oZWFsdGgtb2ZmaWNpYWxzLXNheS10aG91Z2gtd2F2ZS1yZWxhdGl2ZWx5LW1pbGQuaHRtbNIBAA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/5ECHjkxccdd9vi9a0_FvlfclTgCAOB3MA9cAF0P---KZXNJZWFkGXSPqhEPhOYg6176wV253o5jrGK2K6OPGC_Q0r_x9nF20VVrD5_5cEkv8uWbAcdGOhuSksxeBHrvSlyIYF70TTZfHtiyr2KYML8cPqZL7wD0Iw5psQ5c-8vsvD__r4Ue3KndldKG-yv6OO5WmASu9qFCDhQvm1MVwQ1xxPHR5UAkHBBrfQuPyUv1tgSPNeZyLt0BcUILwD73FiSc=s0-w100-h100-dcAWKQDaUH
11 hours ago,"Michigan adds 29,267 cases, 78 deaths from COVID-19 over past week",,2022-05-18 12:00:36.572423,bookmark_border,news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmRldHJvaXRuZXdzLmNvbS9zdG9yeS9uZXdzL2xvY2FsL21pY2hpZ2FuLzIwMjIvMDUvMTgvbWljaGlnYW4tYWRkcy0yOTI2Ny1jYXNlcy03OC1kZWF0aHMtY292aWQtMTkvOTgyMjMwMTAwMi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/ezehj9qTHePEQRsNPjYu-WsQhRZb6weLIC59sJMZ4f7l1E8xsIcF59VDK3QV-vOws_6Hg4Kt1DaQShvvossot7Ovw148nlPhlYMDIr-p7Io4vePANqSY_dU_VAYZAWgDEcRtRv3zkoTQomCf9L3P7PqFZcR0VK3x3MTPMNLUi0x5zwYUgyNIfzdLYjT5Xs8xVXleQ3LJKK-xTSpFPLp7XjspmFfrOWwYmpbX4-c5edBXFZMDgncVLd1drJST74sYk2sDg4IOqwBzRWxUj-hNluWWTF77-xIEWAlrEQcJQBo=s0-w100-h100-dcAQCKJZXmqRMZx9jeUjA
7 hours ago,COVID-19 and poverty vulnerability,,2022-05-18 16:00:36.572423,bookmark_border,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmJyb29raW5ncy5lZHUvYmxvZy9mdXR1cmUtZGV2ZWxvcG1lbnQvMjAyMi8wNS8xOC9jb3ZpZC0xOS1hbmQtcG92ZXJ0eS12dWxuZXJhYmlsaXR5L9IBZGh0dHBzOi8vd3d3LmJyb29raW5ncy5lZHUvYmxvZy9mdXR1cmUtZGV2ZWxvcG1lbnQvMjAyMi8wNS8xOC9jb3ZpZC0xOS1hbmQtcG92ZXJ0eS12dWxuZXJhYmlsaXR5L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/r3ki7RRFBWlh8DBmtDaOrWvZR00D4XAv57ElEFuCWJFSNj541IPsuRDCkLX4W0U3MqQNt0SZ4JVJ2WmbTM3jmE6bsQfqAFRLuByGX6CiQTvxKAAhvbt9YUabwcnBv9wsVtv94qquzjw=s0-w100-h100-dcHQCIqxkK
14 hours ago,"As the Virus Evolves, COVID-19 Reinfections Are Going to Keep Happening",,2022-05-18 09:00:36.572423,bookmark_border,news.google.com/./articles/CAIiECx9yrz6oN4rfk4RZQpWQKAqGQgEKhAIACoHCAowmICNCzDjmZ4DMMrPuQY?uo=CAUiOGh0dHBzOi8vdGltZS5jb20vNjE3NzE5Mi9jb3ZpZC0xOS1yZWluZmVjdGlvbi1ob3ctb2Z0ZW4v0gEA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/1tVdyDDlN322If4YacZMxmuAuMN1clpgbujG7fAYLUAtdBAp6pXdAVbW21HhiEsUGiV778LP9_vizDkJAV_kYzMX3qnCONZ5wr6yTPDQnwIAu2sEVbfsgRBzMp0=s0-w100-h100-dciROGBkIE
5 hours ago,The impact of NSAIDs on COVID-19 severity,,2022-05-18 18:00:36.573423,bookmark_border,news.google.com/./articles/CAIiEF65Fpratwrqp8RYPrNIgucqMwgEKioIACIQZdRflS9INK7zM5FkBi3R3CoUCAoiEGXUX5UvSDSu8zORZAYt0dwww8TIBg?uo=CAUiWWh0dHBzOi8vd3d3Lm5ld3MtbWVkaWNhbC5uZXQvbmV3cy8yMDIyMDUxOC9UaGUtaW1wYWN0LW9mLU5TQUlEcy1vbi1DT1ZJRC0xOS1zZXZlcml0eS5hc3B40gEA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/22SZwzcy2cgcFgAQBSE4ejE1Jc1UY0s-q0cZKKPb3fJRgcS_WNT0Z_nkrQ52KgM4zwhdr_VSZVhpJRh4g4NBZgfIyr2jTWNc0Isll0duN7IueI_47S25fpp3ANxXb2a-J-ebo33W3kJy6kLfcQ=s0-w100-h100-dclXGK7bAF
6 hours ago,"CDC elevates Summit County, Utah to medium risk for COVID-19",,2022-05-18 17:00:36.573423,bookmark_border,news.google.com/./articles/CAIiEP4xGEPRwnwNkf5fkTzcHX0qGQgEKhAIACoHCAow4P_3CjD_3tgCMMiK7QU?uo=CAUifWh0dHBzOi8vd3d3LmRlc2VyZXQuY29tL3V0YWgvMjAyMi81LzE4LzIzMTI0MTEzL2NkYy1lbGV2YXRlcy1zdW1taXQtY291bnR5LXV0YWgtbWVkaXVtLXJpc2stY292aWQtaW5mZWN0aW9ucy1ob3NwaXRhbGl6YXRpb25z0gEA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/fnIo-Xt_feooeCGjtyTFpm13DJaETCSbcElYXMhc3hNSs-mDtBl1NJ7BGA6s4mjRuo6FM8-5KzZo3UpZ4_QLw_c21RH63u7WrhzsTlsGjwBTPIyugTcGHbG0xSlRwP2XQnlLiBCOprHMrg9l84rLj8wEuAvyaYbY1U4gu9XdSqt9aODdRIKuHxkl91mXDeo3RD88Ilc4XtspZRzYN7RoKJg8j8HgQzAy0RRcD75_r9nerIhtUHQj4sx_uQkA7fRUNQ9lKgEiwHwsRYL8M89e6XjEkZ7AfO54YJCGlGuweAGkUCcd-I5gB5vCKBe2O_T9Ua5QBzxBvsk1dDnxHgzA2-D2L8w-aQ64Qezlhn6Gq_uyIw4tzD_XGDf3pP-s2WXVH7tblqzgVLLf3HOj3eYVlJz5cTSqoHh4OBCuZjONVM7lf4nYJ2QLEi5ItpfycfkrIfphwpVADPeevQ3KfpaUfJUH8slPgtp4_iwoBF2shn4h7slo1ScBsY6lNVr4a9kf-RUY=s0-w100-h100-dcmcCGEUkE
8 hours ago,Four global regions report rising COVID-19 cases,,2022-05-18 15:00:36.573423,bookmark_border,news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmNpZHJhcC51bW4uZWR1L25ld3MtcGVyc3BlY3RpdmUvMjAyMi8wNS9mb3VyLWdsb2JhbC1yZWdpb25zLXJlcG9ydC1yaXNpbmctY292aWQtMTktY2FzZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/__BJbN3KT9OT1Tt1x5GTe5Ei_aeBbXEjjFF7ovSA35an6fgoBLqDScJzdmyb5Fld9aOmkE2gvpXbztKVD5WZH2pbRwdTQAuI0EEmKo24DrIkQuioramvyp29Fm6iiXLe-1xjXOJa037_Mtrp7vzKL-u-HyTO2cH1PnkuQBoNNLkoss_EXGzLekNOdkvj4K0ckqX8Z1dD0oaNCsuh09GMqmoAfV_g_1k0hgHgKvE0XF8pGQ=s0-w100-h100-dcgTKSCKEJ
17 hours ago,"Covid-19 wastewater surveillance is promising tool, but critical challenges remain",,2022-05-18 06:00:36.573423,bookmark_border,news.google.com/./articles/CAIiECLPQmOSjKvGmrN41RxEnCwqGQgEKhAIACoHCAowocv1CjCSptoCMLrUpgU?uo=CAUiVWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wNS8xOC9oZWFsdGgvY292aWQtd2FzdGV3YXRlci1kYXRhLW5vdC11bmRlcnN0b29kL2luZGV4Lmh0bWzSAQA&hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/I-MVm7Lm8b-x7MpTBP92Ivy-KeoVrj-AZuSRngU_mdRlpVogESZ8Z6YQoLf2N_qRqSnHKH6z65lqylKE0VPuEOajEZYLrwKXjvrHXMvubnbfx8ikP6kIfCNPEgFmCYlsgLwijlAss4fDBr4Rk7K-VUcF4TIA79fox7VJUGk2d7Ya4sTQ5AacGC1grVTAfrkMBBIu8EKCWwzR7pTsFPuCDnLz9t1s4WVwoyD3uz2vRQedw5EF09sALQ-oZPuO5xgHzuq3r5R5HiBK4LI=s0-w100-h100-dcLSWKzhUK
