title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
নিজস্ব অর্থায়নে পদ্মা সেতু আজ বাস্তব বিস্ময় | Megaprojects In Bangladesh | Padma Bridge | Somoy TV,https://www.youtube.com/watch?v=_ze2gvqmNqY,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",136K views,1 month ago,padmabridge #padmabridgeupdate #padmasetu #Metro_Rail_Dhaka আরও বিস্তারিত জানতে ভিজিট ...,True,,নিজস্ব অর্থায়নে পদ্মা সেতু আজ বাস্তব বিস্ময় | Megaprojects In Bangladesh | Padma Bridge | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মা সেতুর টোল চূড়ান্ত! | Padma Bridge | Toll of Padma Bridge | Final Toll | Somoy TV,https://www.youtube.com/watch?v=Ut9omesneK0,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",340K views,10 days ago,Toll #Padma_Bridge_Toll #Final_Toll #SomoyNews #SomoyTV চূড়ান্ত হলো পদ্মা সেতুর টোল।,True,,পদ্মা সেতুর টোল চূড়ান্ত! | Padma Bridge | Toll of Padma Bridge | Final Toll | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
বাঙালির গৌরবের প্রতীক পদ্মা সেতু এখন বাস্তব! | Padma Bridge | Somoy News,https://www.youtube.com/watch?v=77cJyhlbong,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",139K views,3 days ago,PadmaBridge #PadmaBridgeOpening #PadmaBridgeLatestUpdate #PadmaUpdate #SheikhHasina #SomoyNews #SomoyTV ...,True,New,বাঙালির গৌরবের প্রতীক পদ্মা সেতু এখন বাস্তব! | Padma Bridge | Somoy News,27_05_2022-21_10_53-Padma Bridge-partho.csv
স্বপ্ন ছোঁয়ার পথে পদ্মা সেতু; ২৫ জুন উদ্বোধন | Padma bridge,https://www.youtube.com/watch?v=MQrrr7b1ny0,"{'channel_name': 'Jamuna TV', 'channel_link': 'https://www.youtube.com/c/JamunaTVbd'}",261K views,3 days ago,পদ্মা সেতুর উদ্বোধন আগামী ২৫ জুন। ওইদিন সকাল ১০ টায় পদ্মা সেতুর ...,True,New,স্বপ্ন ছোঁয়ার পথে পদ্মা সেতু; ২৫ জুন উদ্বোধন | Padma bridge,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মা পারের মানুষের স্বপ্ন যখন বাস্তবের দ্বারপ্রান্তে | Padma Multipurpose Bridge | Padma River,https://www.youtube.com/watch?v=se5v7tMb5VQ,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",164K views,2 weeks ago,PadmaMultipurposeBridge #PadmaRiver #Padma #MunshiganjNews #SomoyTV মূল সেতুর পর শুক্রবার ...,True,,পদ্মা পারের মানুষের স্বপ্ন যখন বাস্তবের দ্বারপ্রান্তে | Padma Multipurpose Bridge | Padma River,27_05_2022-21_10_53-Padma Bridge-partho.csv
"শুধু নদীপাড়ের মানুষকেই নয়, আকৃষ্ট করবে পর্যটকদেরও! | Padma Bridge Lighting | Padma Bridge | Somoy TV",https://www.youtube.com/watch?v=v-tUuQMzYyw,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",520K views,1 month ago,PadmaBridgeLighting #PadmaBridge #SomoyTV নান্দনিক লাইটিং পদ্মা সেতুকে রাতেও ...,True,,"শুধু নদীপাড়ের মানুষকেই নয়, আকৃষ্ট করবে পর্যটকদেরও! | Padma Bridge Lighting | Padma Bridge | Somoy TV",27_05_2022-21_10_53-Padma Bridge-partho.csv
দেশে প্রথমবারের মত সেতুর সড়ক পথে পানিরোধক লেয়ার! |Padma Bridge Construction |Carpeting |Padma Bridge,https://www.youtube.com/watch?v=VxPYdFLdBIk,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",847K views,3 weeks ago,PadmaBridgeConstruction #PadmaBridgeUpdate #BridgeCarpeting #OpenInJune #somoytv স্বপ্নের পদ্মা ...,True,,দেশে প্রথমবারের মত সেতুর সড়ক পথে পানিরোধক লেয়ার! |Padma Bridge Construction |Carpeting |Padma Bridge,27_05_2022-21_10_53-Padma Bridge-partho.csv
স্বপ্নের সেতুতে চলছে শেষ পর্যায়ের সৌন্দর্যবর্ধনের কাজ | Padma Bridge Update | Uplift Bangladesh,https://www.youtube.com/watch?v=ZsH29ILlF9A,"{'channel_name': 'Uplift Bangladesh', 'channel_link': 'https://www.youtube.com/c/UpliftBangladesh'}",24K views,11 hours ago,স্বপ্নের সেতুতে চলছে সৌন্দর্যবর্ধনের কাজ | ২১ জেলার ভাগ্য বদলে ...,True,New,স্বপ্নের সেতুতে চলছে শেষ পর্যায়ের সৌন্দর্যবর্ধনের কাজ | Padma Bridge Update | Uplift Bangladesh,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মা সেতুর টোল কি আসলেই বেশী ? | Padma Bridge | News | Ekattor TV,https://www.youtube.com/watch?v=1Plv2bkzsWU,"{'channel_name': 'Ekattor TV', 'channel_link': 'https://www.youtube.com/c/EkattorTelevision'}",79K views,5 days ago,পদ্মা সেতুর টোল কি আসলেই বেশী ? #পদ্মা_সেতু #উন্নয়ন_প্রকল্প ...,True,New,পদ্মা সেতুর টোল কি আসলেই বেশী ? | Padma Bridge | News | Ekattor TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মার দু’পাড়ে স্বস্তির বাতাস; অপেক্ষা শুধু উদ্বোধনের | Padma Bridge,https://www.youtube.com/watch?v=89E__ZzLDag,"{'channel_name': 'Jamuna TV', 'channel_link': 'https://www.youtube.com/c/JamunaTVbd'}",106K views,1 day ago,পদ্মার দু'পাড়ে এখন উচ্ছ্বাস। স্বস্তির নিঃশ্বাস পরিবহন চালক আর ...,True,New,পদ্মার দু’পাড়ে স্বস্তির বাতাস; অপেক্ষা শুধু উদ্বোধনের | Padma Bridge,27_05_2022-21_10_53-Padma Bridge-partho.csv
২৫ জুন পদ্মা সেতুর উদ্বোধন; নাম হবে পদ্মার নামেই | Padma Bridge Inauguration,https://www.youtube.com/watch?v=3EDnZLVqO6E,"{'channel_name': 'Jamuna TV', 'channel_link': 'https://www.youtube.com/c/JamunaTVbd'}",46K views,3 days ago,বহুল প্রতিক্ষিত পদ্মাসেতু উদ্বোধন হবে ২৫ জুন। প্রধানমন্ত্রী শেখ ...,True,New,২৫ জুন পদ্মা সেতুর উদ্বোধন; নাম হবে পদ্মার নামেই | Padma Bridge Inauguration,27_05_2022-21_10_53-Padma Bridge-partho.csv
কর্মসংস্থানের সুযোগ হবে লাখো মানুষের || #Padma Bridge Economy,https://www.youtube.com/watch?v=4uN2BFYXOpU,"{'channel_name': 'Independent Television', 'channel_link': 'https://www.youtube.com/c/IndependentTelevision'}",38K views,2 weeks ago,Welcome to the official Independent Television YouTube channel. Independent Television is a 24/7 news oriented satellite ...,True,,কর্মসংস্থানের সুযোগ হবে লাখো মানুষের || #Padma Bridge Economy,27_05_2022-21_10_53-Padma Bridge-partho.csv
নানা চড়াই উতরাই পেরিয়ে পদ্মা সেতু এখন উদ্বোধনের অপেক্ষায় | Story of Padma Bridge | Somoy TV,https://www.youtube.com/watch?v=Dih2ojZpavc,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",366K views,2 days ago,Story_of_Padma_Bridge #SomoyNews #SomoyTV সাহসের প্রতীক হয়ে দাড়িয়ে পদ্মা সেতু।,True,New,নানা চড়াই উতরাই পেরিয়ে পদ্মা সেতু এখন উদ্বোধনের অপেক্ষায় | Story of Padma Bridge | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মাসেতু প্রস্তুত! ৮ মিনিটে পুরো সেতুর সবশেষ আপডেট। Padma Bridge Latest News May 2022,https://www.youtube.com/watch?v=c_d9scc5zDQ,"{'channel_name': 'InfoTalkBD', 'channel_link': 'https://www.youtube.com/c/InfoTalkBD'}",312K views,2 weeks ago,PadmaBridge #Padma_Setu #TrendingNews #InfoTalkBD #Padma_Bridge_Last_Update ********************************** এ ...,,CC,পদ্মাসেতু প্রস্তুত! ৮ মিনিটে পুরো সেতুর সবশেষ আপডেট। Padma Bridge Latest News May 2022,27_05_2022-21_10_53-Padma Bridge-partho.csv
