title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
১৩ বার জয়ী রিয়াল মাদ্রিদের মুখোমুখি ৬ বারের চ্যাম্পিয়ন লিভারপুল || #UCL Final 2022,https://www.youtube.com/watch?v=lQq10REJnhE,"{'channel_name': 'Independent Television', 'channel_link': 'https://www.youtube.com/c/IndependentTelevision'}",5.6K views,2 hours ago,Welcome to the official Independent Television YouTube channel. Independent Television is a 24/7 news oriented satellite ...,True,New,১৩ বার জয়ী রিয়াল মাদ্রিদের মুখোমুখি ৬ বারের চ্যাম্পিয়ন লিভারপুল || #UCL Final 2022,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
BOSS | বস | Eid Natok 2022| Mosharraf Karim | Mousumi Mou | Imraul Rafat | Bangla Natok 2022,https://www.youtube.com/watch?v=XZgQ0izSSUw,"{'channel_name': 'CMV', 'channel_link': 'https://www.youtube.com/c/CMVBD'}",1.6M views,2 weeks ago,"Presenting Eid Ul Fitr Drama of Imraul Rafat's “Boss”, Script written by Emel Haque, Directed by Imraul Rafat, Starring Mosharraf ...",True,4K,BOSS | বস | Eid Natok 2022| Mosharraf Karim | Mousumi Mou | Imraul Rafat | Bangla Natok 2022,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
ঢাবি’তে ভয়াবহ হামলার মূল কারণ জানালেন ভিপি নুর | Update News | Changetv.press,https://www.youtube.com/watch?v=lcEgjWT7ErM,"{'channel_name': 'Changetv.press', 'channel_link': 'https://www.youtube.com/c/Changetvpress'}",12K views,15 hours ago,ঢাবি'তে ভয়াবহ হামলার মূল কারণ জানালেন ভিপি নুর | Update News | Changetv.,True,New,ঢাবি’তে ভয়াবহ হামলার মূল কারণ জানালেন ভিপি নুর | Update News | Changetv.press,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
এখনই আলোচনায় জাতীয় নির্বাচন; ছক কি পাল্টাবে? কী হবে সমীকরণ? | Election Politics,https://www.youtube.com/watch?v=ErCzhEKkwZA,"{'channel_name': 'Jamuna TV', 'channel_link': 'https://www.youtube.com/c/JamunaTVbd'}",93K views,1 month ago,এবার নির্বাচনের অনেক আগেই আলোচনায় 'জাতীয় নির্বাচন'। বিএনপি'র ...,True,,এখনই আলোচনায় জাতীয় নির্বাচন; ছক কি পাল্টাবে? কী হবে সমীকরণ? | Election Politics,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Pakistan Reaction on Bangladesh National Election 2018 - Awami League - Sheikh Hasina,https://www.youtube.com/watch?v=2iL8TtRnYhg,"{'channel_name': 'Election Box', 'channel_link': 'https://www.youtube.com/c/ElectionBox'}",7.7K views,3 years ago,Pakistan Reaction on Bangladesh National Election 2018 - Awami League - Sheikh Hasina. General elections were held in ...,True,,Pakistan Reaction on Bangladesh National Election 2018 - Awami League - Sheikh Hasina,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Bangladesh - Protests Against PM Khaleda Zia,https://www.youtube.com/watch?v=Tw4EO-ZAZsA,"{'channel_name': 'AP Archive', 'channel_link': 'https://www.youtube.com/c/APArchive'}",867K views,6 years ago,(25 Feb 1996) T/I 10:36:27 Gun battles and molotov cocktails killed at least one person and injured more than 100 in Dhaka on ...,True,,Bangladesh - Protests Against PM Khaleda Zia,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
কুমিল্লা সিটি নির্বাচন; প্রতীক পেলেন মেয়রপ্রার্থীরা | Cumilla Election,https://www.youtube.com/watch?v=W90lcbI0Gug,"{'channel_name': 'Jamuna TV', 'channel_link': 'https://www.youtube.com/c/JamunaTVbd'}",31K views,17 hours ago,ভোটের উৎসব শুরু হয়েছে কুমিল্লায়। সকালে প্রতীক সংগ্রহ করেছেন ...,True,New,কুমিল্লা সিটি নির্বাচন; প্রতীক পেলেন মেয়রপ্রার্থীরা | Cumilla Election,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Is Bangladesh a one-party state? | Head to Head,https://www.youtube.com/watch?v=ZlRObEeuuJM,"{'channel_name': 'Al Jazeera English', 'channel_link': 'https://www.youtube.com/c/aljazeeraenglish'}",15M views,3 years ago,"In recent elections Bangladesh's ruling party, the Awami League, reasserted its power following a landslide general election ...",True,,Is Bangladesh a one-party state? | Head to Head,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
BNP And Jamayat win 2001 Election In Bangladesh (4 Party Alaence),https://www.youtube.com/watch?v=Zk9UvD8-ECY,"{'channel_name': 'Emran Ali', 'channel_link': 'https://www.youtube.com/user/EmranAli1998'}",32K views,11 years ago,BNP And 3 Party win 2001 Election In Bangladesh.,,,BNP And Jamayat win 2001 Election In Bangladesh (4 Party Alaence),28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Appeal for voting in 11th National Election of Bangladesh.,https://www.youtube.com/watch?v=t8E00Ov_wqU,"{'channel_name': 'SHUJAN-Shushashoner Jannya Nagorik', 'channel_link': 'https://www.youtube.com/channel/UCC1EOpFL3MItaNqvrUUehyA'}",138 views,3 years ago,This feature film created to appeal First Voter to cast their vote during 11th National Election of Bangladesh.,,,Appeal for voting in 11th National Election of Bangladesh.,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Who will win the next General election of Bangladesh?,https://www.youtube.com/watch?v=us8EJTkAInY,"{'channel_name': 'News18 Assam/Northeast', 'channel_link': 'https://www.youtube.com/channel/UCAjBd-r8JWfnRjfhg23nqLQ'}",2K views,3 years ago,,True,,Who will win the next General election of Bangladesh?,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
In Depth - Bangladesh Elections,https://www.youtube.com/watch?v=_2Aw_NfMKPc,"{'channel_name': 'Sansad TV', 'channel_link': 'https://www.youtube.com/c/SansadTV'}",170K views,3 years ago,India's eastern neighbour Bangladesh is set to witness General Elections on Sunday. A 10 crore electorate will decide whether ...,True,,In Depth - Bangladesh Elections,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Bangladesh General Election : What's Next for SHEIKH HASINA? (Part -1),https://www.youtube.com/watch?v=RCdrUHMWTMk,"{'channel_name': 'IAnews Night', 'channel_link': 'https://www.youtube.com/channel/UCL5f5ZkhQpW5aftvS8TO7ZA'}",35 views,3 years ago,India Ahead News.,,,Bangladesh General Election : What's Next for SHEIKH HASINA? (Part -1),28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
BEAUTIFUL TIME OF NATIONAL ELECTION OF BANGLADESH DEC/2018,https://www.youtube.com/watch?v=Ae110-MDljY,"{'channel_name': 'Asif Mahmud', 'channel_link': 'https://www.youtube.com/channel/UC9JT4ZR88F2Yf1Q9C_yk4wg'}",11 views,3 years ago,,,,BEAUTIFUL TIME OF NATIONAL ELECTION OF BANGLADESH DEC/2018,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
What is EVM. How it works. Bangladesh National Election 2018,https://www.youtube.com/watch?v=9o88pU-2Qsk,"{'channel_name': 'Fan of Habibur Rahman Habib', 'channel_link': 'https://www.youtube.com/channel/UCF5yJtqLumtQfxz1JVlI81w'}",52 views,3 years ago,,,,What is EVM. How it works. Bangladesh National Election 2018,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Breaking II ২৩ ডিসেম্বর জাতীয় সংসদ নির্বাচন II Bangladesh National Election,https://www.youtube.com/watch?v=DvdmV4URDzU,"{'channel_name': 'Independent Television', 'channel_link': 'https://www.youtube.com/c/IndependentTelevision'}",67K views,Streamed 3 years ago,একাদশ জাতীয় সংসদ নির্বাচনের ভোটগ্রহণ আগামী ২৩ ডিসেম্বর।,True,,Breaking II ২৩ ডিসেম্বর জাতীয় সংসদ নির্বাচন II Bangladesh National Election,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
