title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
Tobey Maguire and Andrew Garfield being iconic in no way home,https://www.youtube.com/watch?v=5YUTaYd2Obs,"{'channel_name': 'C2OTeddy', 'channel_link': 'https://www.youtube.com/channel/UC9P2FX1oB8HQDovIZQhYB2g'}",1.9M views,1 month ago,spidermannowayhome #spiderverse #spiderman Don't forget to subscribe and hit that bell notifications to never miss a video ...,,,Tobey Maguire and Andrew Garfield being iconic in no way home,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Mark and his funny stories for children with a new friend.,https://www.youtube.com/watch?v=olvvwl6dlQ0,"{'channel_name': 'Mark Production', 'channel_link': 'https://www.youtube.com/c/MarkProduction-video-for-kids'}",174M views,2 years ago,Mark and his funny stories for children with a new friend. Subscribe to Mark Production https://goo.gl/iaDstp Subscribe to ...,True,,Mark and his funny stories for children with a new friend.,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Vlad et Niki histoires drôles de jouets avec des costumes pour enfants,https://www.youtube.com/watch?v=EhgaoZoQV6A,"{'channel_name': 'Vlad et Nikita', 'channel_link': 'https://www.youtube.com/channel/UCBAVuFj7sgiS0Qp0hBgfuJg'}",154M views,1 year ago,Collection de vidéos avec jouets et costumes pour enfants Abonnez-vous! Vlad & Niki Boutique: https://vladandniki.com/ Notre ...,True,,Vlad et Niki histoires drôles de jouets avec des costumes pour enfants,26_05_2022-12_20_01-Spiderman no way home-partho.csv
"SPIDER-MAN 4: Tony’s Back Home | NEW TRAILER - 'MARVEL STUDIO & SONY PICTURE ' ""CONCEPT""",https://www.youtube.com/watch?v=jt9V6VXgjm0,"{'channel_name': 'Fandom Topics', 'channel_link': 'https://www.youtube.com/c/FandomTopics'}",5.5M views,6 months ago,"... Maguire,Spider Man 2021 Tobey Maguire,Venom 2 Let There Be Carnage,Teaser PROspiderman no way home,spiderman no ...",True,4K,"SPIDER-MAN 4: Tony’s Back Home | NEW TRAILER - 'MARVEL STUDIO & SONY PICTURE ' ""CONCEPT""",26_05_2022-12_20_01-Spiderman no way home-partho.csv
All Spider-Man No Way Home References to Previous Movies (4K Scenes),https://www.youtube.com/watch?v=YvzEZ88x7Tc,"{'channel_name': 'BUGZ', 'channel_link': 'https://www.youtube.com/c/bugzkilla'}",6.9M views,2 months ago,"This video was shot and edited in 4K using Adobe Premiere Pro, Adobe Photoshop, and Adobe After Effects and features over 50 ...",,4K,All Spider-Man No Way Home References to Previous Movies (4K Scenes),26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDER-MAN: NO WAY HOME - Official Teaser Trailer,https://www.youtube.com/watch?v=WgU7P6o-GkM,"{'channel_name': 'Marvel Entertainment', 'channel_link': 'https://www.youtube.com/c/marvel'}",28M views,9 months ago,"What just happened? Watch the official teaser trailer for #SpiderManNoWayHome, exclusively in movie theaters December 17.",True,,SPIDER-MAN: NO WAY HOME - Official Teaser Trailer,26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDER-MAN: NO WAY HOME All Movie Clips (2021),https://www.youtube.com/watch?v=4OvvI0p7NxQ,"{'channel_name': 'Entertainment Access', 'channel_link': 'https://www.youtube.com/c/EntertainmentAccess'}",1.8M views,4 months ago,"Watch the official clip compilation for Spider-Man: No Way Home, an action movie starring Tom Holland, Zendaya and Benedict ...",True,,SPIDER-MAN: NO WAY HOME All Movie Clips (2021),26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDER-MAN: NO WAY HOME - Official Hindi Trailer | In Cinemas December 16,https://www.youtube.com/watch?v=Hi4ktzK9g0I,"{'channel_name': 'Sony Pictures India', 'channel_link': 'https://www.youtube.com/c/SonyPicturesIndia'}",4.3M views,5 months ago,"We started getting visitors… from every universe. Watch the official Hindi trailer for #SpiderManNoWayHome, exclusively in ...",True,,SPIDER-MAN: NO WAY HOME - Official Hindi Trailer | In Cinemas December 16,26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDER-MAN: NO WAY HOME (2021) | Behind the Scenes & Bloopers of Tom Holland Marvel Movie,https://www.youtube.com/watch?v=LMZPnwz_dT0,"{'channel_name': 'FilmIsNow Movie Bloopers & Extras', 'channel_link': 'https://www.youtube.com/c/FilmisnowBloopersandMakingOf'}",19M views,4 months ago,"Making of Spider-Man: No Way Home (B-Roll) With Spider-Man's identity now revealed, Peter asks Doctor Strange for help.",True,,SPIDER-MAN: NO WAY HOME (2021) | Behind the Scenes & Bloopers of Tom Holland Marvel Movie,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider Man No Way Home movie Explained in bangla | Movie Club Bangla | Marvel,https://www.youtube.com/watch?v=iH_-iMbBUUg,"{'channel_name': 'Movie Club Bangla', 'channel_link': 'https://www.youtube.com/c/MovieClubBangla'}",396K views,5 months ago,Spider Man No Way Home movie Explained In bangla | Movie Club Bangla | keywords :- spiderman no way home movie ...,,,Spider Man No Way Home movie Explained in bangla | Movie Club Bangla | Marvel,26_05_2022-12_20_01-Spiderman no way home-partho.csv
