Datetime,Tweet Id,Post,file_path
2022-05-25 23:58:59+00:00,1529613030195093504,Nuevas cifras de la situación actual por COVID-19 en nuestro país. Hacemos un llamado a no bajar la guardia y mantener las medidas de bioseguridad. https://t.co/XMuC4oPVA6,26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:56+00:00,1529613015720534016,Un avance 👀 | República Dominicana es el primer país de Latinoamérica en levantar las restricciones por el covid-19 https://t.co/pT2Rmy3dGD,26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:55+00:00,1529613013334036480,"Reporte #COVID19 en #Tamaulipas 📊🦠🔬

🔴 147,908 positivos.
🔵 139,820 recuperados.
⚫ 7,841 defunciones.

#Entérate aquí ⬇️
https://t.co/1qvUlS7nKY https://t.co/RkwrriC0j5",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:55+00:00,1529613010876112901,"One day after attending an anti-mask group’s gathering and tweeting about it, the Republican candidate for governor in Connecticut, Bob Stefanowski, announced he had tested positive for Covid-19..",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:51+00:00,1529612993729896450,"I thought the decline started during #COVID19 

What do I know, also I thought the world population was growing at a geometric rate and unless we reduced that we would meet the #PerfectStorm🥶 Atleast that’s what some billionaires say 

But why are people having fewer babies #Now https://t.co/e4JeDpux1E https://t.co/4CDOR3Qefa",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:43+00:00,1529612961614118916,"About 14 years ago I remember beating my head against the wall with a friend who said Latinos &amp; Hispanics spread swine flu. I tried very hard to explain LatAm history of immigration &amp; slavery was parallel to the US 🤦‍♂️

Covid 19 gave us Asian stigma 

Now, monkeypox w/ gay stigma https://t.co/nPjOTF5bKl",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:40+00:00,1529612950482440194,"Total de recuperados vs total de casos positivos por COVID-19 en Panamá 🇵🇦, al 25 de mayo de 2022 en Panamá. 

#noticias #panama #coronavirus #ensegundos #COVID19 https://t.co/U8j1GAHYtc",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:39+00:00,1529612944816099329,@canica1234 hasta que lo agarró la gripe a y el covid-19 😂,26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:34+00:00,1529612925102612480,30M de casos de covid-19 em três fuck anos de pands é o absurdo dos absurdos. É ~muito pouco~. Mostra como a gente está entregue ao caos e estivemos todos esses anos,26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:32+00:00,1529612915250466816,"25,172 kes aktif direkodkan dengan 95.6% daripadanya sedang menjalani kuarantin kendiri.

#MalaysiaNow #MNow #MNowNews #Malaysia #COVID19 

https://t.co/iDBhB2XUsZ",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:24+00:00,1529612882085920769,"Pruebas realizadas por COVID-19 en Panamá 🇵🇦, al 25 de mayo de 2022 en Panamá. 

#noticias #panama #coronavirus #ensegundos #COVID19 https://t.co/WA8YgvkIcF",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:24+00:00,1529612881700048896,"We live in a challenging times where a #futureofwork is upon us now, brought forward by the pandemic #covid19 - People want to be appreciated at work for their contribution, to feel they belong and to be able to sing their own song…https://t.co/M32GNwZl9s https://t.co/cBeffnLSOP",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:24+00:00,1529612880789782528,"Esses dias me assustei com a quantidade de amigos, que ainda não tomaram a primeira dose de reforço contra COVID-19",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:23+00:00,1529612876092440576,@FatherBob 💗💗,26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:20+00:00,1529612866978041856,"Las actividades festivas, los conciertos, los saraos y las movilizaciones masivas de personas por todos lados, están registrando elevados niveles de contagios por la Covid 19. Vale la pena recordar que es responsabilidad de todos, volver a la normalidad. JUNTOS PODEMOS !",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:19+00:00,1529612861986721792,"@thatsnotmine125 @CreatePerhaps Fair enough, but where's the safety and efficacy data for a monkeypox vaccine on top of a covid-19 vaccine, on top of a potential covid-19 booster shot, on top of a potential influenza vaccine?

The immune system can only tolerate so much.",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:14+00:00,1529612840834932737,"Entre 44 pacientes hospitalizados con COVID-19, el antígeno de la nucleocápside del LCR fue detectable en el 89 % de los que tenían datos disponibles y se correlacionó con los marcadores de activación inmunitaria neopterina e interferón.",26_05_2022-02_50_29-covid-19-partho.csv
2022-05-25 23:58:14+00:00,1529612839660535810,"El antígeno viral fue detectable en el líquido cefalorraquídeo (LCR) de pacientes con COVID-19 y se relacionó con la activación inmunitaria en el sistema nervioso central, mostró un pequeño estudio en un hospital de Suecia.",26_05_2022-02_50_29-covid-19-partho.csv
